540.081665 -453.010254 509.660034, 694.341248 -651.812439 -606.336548, -40.384716 -627.743164 -423.013611, 28.437094 -261.278839 -534.279480, 
-651.812439 -606.336548 -40.384716, -627.743164 -423.013611 28.437094, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-423.013611 28.437094 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -650.946472, -605.738037 -40.147865 -628.442505, 
541.115967 -451.826447 510.739990, 691.488892 -650.946472 -605.738037, -40.147865 -628.442505 -422.189545, 28.733988 -261.278839 -534.279480, 
-650.946472 -605.738037 -40.147865, -628.442505 -422.189545 28.733988, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-422.189545 28.733988 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -650.512695, -605.242065 -40.012039 -628.759338, 
541.115967 -451.826447 510.739990, 691.488892 -650.512695 -605.242065, -40.012039 -628.759338 -421.618011, 29.000658 -261.278839 -534.279480, 
-650.512695 -605.242065 -40.012039, -628.759338 -421.618011 29.000658, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-421.618011 29.000658 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -650.236084, -604.884460 -39.987373 -628.962402, 
541.115967 -451.826447 510.739990, 691.488892 -650.236084 -604.884460, -39.987373 -628.962402 -421.264679, 29.248184 -261.278839 -534.279480, 
-650.236084 -604.884460 -39.987373, -628.962402 -421.264679 29.248184, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-421.264679 29.248184 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -650.136719, -604.756165 -39.827347 -629.024475, 
541.115967 -451.826447 510.739990, 691.488892 -650.136719 -604.756165, -39.827347 -629.024475 -421.035065, 29.217592 -261.278839 -534.279480, 
-650.136719 -604.756165 -39.827347, -629.024475 -421.035065 29.217592, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-421.035065 29.217592 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -648.321716, -606.647278 -35.359039 -624.672241, 
541.115967 -451.826447 510.739990, 691.488892 -648.321716 -606.647278, -35.359039 -624.672241 -421.382385, 26.753569 -260.195099 -532.424805, 
-648.321716 -606.647278 -35.359039, -624.672241 -421.382385 26.753569, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-421.382385 26.753569 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -650.719238, -607.319702 -39.250305 -623.900391, 
540.645081 -453.025208 507.201630, 690.712524 -650.719238 -607.319702, -39.250305 -623.900391 -423.354584, 29.204515 -259.547638 -535.984436, 
-650.719238 -607.319702 -39.250305, -623.900391 -423.354584 29.204515, -259.547638 -535.984436 540.081665, -453.010254 509.660034 694.341248, 
-423.354584 29.204515 -259.547638, -535.984436 540.081665 -453.010254, 509.660034 694.341248 -649.257996, -609.088257 -40.280025 -620.460999, 
540.081665 -453.010254 509.660034, 694.341248 -649.257996 -609.088257, -40.280025 -620.460999 -421.741913, 25.141407 -262.965302 -534.854553, 
-649.257996 -609.088257 -40.280025, -620.460999 -421.741913 25.141407, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-421.741913 25.141407 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -646.941528, -608.230713 -38.203728 -616.179749, 
536.481628 -452.132294 509.214020, 695.961731 -646.941528 -608.230713, -38.203728 -616.179749 -420.942993, 25.587524 -260.237030 -538.090698, 
-646.941528 -608.230713 -38.203728, -616.179749 -420.942993 25.587524, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-420.942993 25.587524 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -646.658142, -612.348999 -36.655746 -619.799988, 
540.373352 -450.680176 508.673950, 694.443237 -646.658142 -612.348999, -36.655746 -619.799988 -421.931305, 24.586533 -259.835266 -532.314575, 
-646.658142 -612.348999 -36.655746, -619.799988 -421.931305 24.586533, -259.835266 -532.314575 541.805542, -452.778290 509.764618 696.544861, 
-421.931305 24.586533 -259.835266, -532.314575 541.805542 -452.778290, 509.764618 696.544861 -650.154846, -611.032349 -38.891171 -619.991882, 
541.805542 -452.778290 509.764618, 696.544861 -650.154846 -611.032349, -38.891171 -619.991882 -422.597748, 22.765772 -262.965302 -534.854553, 
-650.154846 -611.032349 -38.891171, -619.991882 -422.597748 22.765772, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-422.597748 22.765772 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -648.339844, -610.682251 -39.946835 -617.951416, 
536.481628 -452.132294 509.214020, 695.961731 -648.339844 -610.682251, -39.946835 -617.951416 -425.825562, 24.586552 -258.527863 -536.782837, 
-648.339844 -610.682251 -39.946835, -617.951416 -425.825562 24.586552, -258.527863 -536.782837 542.585510, -452.296204 509.579956 694.541382, 
-425.825562 24.586552 -258.527863, -536.782837 542.585510 -452.296204, 509.579956 694.541382 -650.872864, -611.335632 -39.866627 -619.486328, 
542.585510 -452.296204 509.579956, 694.541382 -650.872864 -611.335632, -39.866627 -619.486328 -423.583130, 23.311415 -262.965302 -534.854553, 
-650.872864 -611.335632 -39.866627, -619.486328 -423.583130 23.311415, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-423.583130 23.311415 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -647.376648, -609.227905 -38.251949 -616.061707, 
536.481628 -452.132294 509.214020, 695.961731 -647.376648 -609.227905, -38.251949 -616.061707 -421.912415, 24.959522 -260.237030 -538.090698, 
-647.376648 -609.227905 -38.251949, -616.061707 -421.912415 24.959522, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-421.912415 24.959522 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -647.466980, -607.998718 -37.653427 -615.524231, 
540.373352 -450.680176 508.673950, 694.443237 -647.466980 -607.998718, -37.653427 -615.524231 -420.556519, 25.224091 -260.237030 -538.090698, 
-647.466980 -607.998718 -37.653427, -615.524231 -420.556519 25.224091, -260.237030 -538.090698 540.373352, -450.680176 508.673950 694.443237, 
-420.556519 25.224091 -260.237030, -538.090698 540.373352 -450.680176, 508.673950 694.443237 -650.962952, -608.502136 -38.370369 -618.386658, 
540.373352 -450.680176 508.673950, 694.443237 -650.962952 -608.502136, -38.370369 -618.386658 -420.560822, 23.756083 -262.965302 -534.854553, 
-650.962952 -608.502136 -38.370369, -618.386658 -420.560822 23.756083, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-420.560822 23.756083 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -651.405151, -609.233154 -38.523254 -618.196838, 
536.481628 -452.132294 509.214020, 695.961731 -651.405151 -609.233154, -38.523254 -618.196838 -421.353638, 23.401905 -262.965302 -534.854553, 
-651.405151 -609.233154 -38.523254, -618.196838 -421.353638 23.401905, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-421.353638 23.401905 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -653.202820, -606.151794 -38.169643 -626.146301, 
536.481628 -452.132294 509.214020, 695.961731 -653.202820 -606.151794, -38.169643 -626.146301 -421.885681, 26.662966 -261.278839 -534.279480, 
-653.202820 -606.151794 -38.169643, -626.146301 -421.885681 26.662966, -261.278839 -534.279480 541.115967, -451.826447 510.739990 691.488892, 
-421.885681 26.662966 -261.278839, -534.279480 541.115967 -451.826447, 510.739990 691.488892 -649.536133, -609.185425 -39.525703 -620.135864, 
541.115967 -451.826447 510.739990, 691.488892 -649.536133 -609.185425, -39.525703 -620.135864 -421.403168, 24.441904 -262.965302 -534.854553, 
-649.536133 -609.185425 -39.525703, -620.135864 -421.403168 24.441904, -262.965302 -534.854553 536.481628, -452.132294 509.214020 695.961731, 
-421.403168 24.441904 -262.965302, -534.854553 536.481628 -452.132294, 509.214020 695.961731 -650.624939, -608.001282 -33.872845 -622.705139, 
536.481628 -452.132294 509.214020, 695.961731 -650.624939 -608.001282, -33.872845 -622.705139 -422.015350, 24.676291 -260.195099 -532.424805, 
-650.624939 -608.001282 -33.872845, -622.705139 -422.015350 24.676291, -260.195099 -532.424805 540.645081, -453.025208 507.201630 690.712524, 
-422.015350 24.676291 -260.195099, -532.424805 540.645081 -453.025208, 507.201630 690.712524 -646.950134, -608.014709 -37.025558 -615.983826, 
